"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide","-0.835211159","-0.224881155","-0.372389492"," 0.567828249","-0.311663396","-0.729842822"," 1.853164957"," 1.181994065","-0.865542747","-0.137692915"," 0.120087738"," 1.365479278"," 0.292268999","-0.449735561","-0.616052381","-0.879227688"," 2.227927190"," 0.314648877","-0.933420571","-0.649817452","-0.366306093","-0.717405567"," 0.367619111"," 0.305044337","-0.939756593","-0.715526456","-0.061303931","-0.935326549","-0.679359917"," 3.403198204","-0.921238409"," 0.811149272"," 1.821057211","-0.848067310"," 0.850871706"," 0.284924594","-0.424198501","-0.926845429"," 0.441919824","-0.130587252","-0.017554465","-0.482667609"," 0.734896639"," 0.003371219","-0.761943024","-0.011752843","-0.768717283"," 1.930045448","-0.402899449","-1.056660138"," 2.684585946"," 1.101463055","-0.840980497","-0.739350669","-0.587056208"," 0.079973551","-1.036261877","-0.039162071","-0.949377252","-0.377736737"
"ANK","-0.24241834"," 0.47060039","-1.11932574","-0.32110839"," 2.52296090","-0.80121700","-0.33353037","-0.36234082","-0.57104877","-0.67477255","-0.88371717","-0.69986705"," 2.79704800"," 0.47212578","-1.09149073","-0.91879937","-0.87120184","-1.11701390","-0.65353841"," 0.48223242","-1.18841281"," 0.68294084"," 1.76599089"," 1.12781441","-0.79667107"," 0.06375633"," 1.32029260"," 0.91115484","-0.24935299","-0.98962835","-0.21425634","-0.76974918","-0.95486045"," 1.32665560"," 0.19526371"," 0.84701077"," 1.02039161","-0.19450740","-0.55935503"," 0.10014646"," 0.32244359","-0.47129530","-1.00822659"," 0.61593355","-0.23344615"," 1.44413896","-0.53039221","-0.01209431"," 1.95038190","-1.07093713","-0.78922584"," 0.31635896","-0.23830833"," 0.38259312","-0.14968205","-0.87929950","-1.26080553"," 2.56813731","-0.56184633"," 0.07737041"
"1-[(3S)-3-(1,3-Benzoxazol-2-yl)-1-pyrrolidinyl]-3-methoxy-1-propanone","-0.585990964"," 0.089774519","-0.895432280"," 1.292904580"," 0.293926211"," 0.011829132","-0.450516097","-0.292992962","-1.177519615","-0.146933868"," 0.590159866","-0.135594812","-0.683742902","-0.611753391","-1.123726013","-0.809057443","-0.070624430","-0.072188440"," 1.862063478"," 0.279331846","-1.224271087","-0.458114399"," 0.837140243","-1.205230581","-0.075332444","-0.183275243","-0.536448147","-0.182923965"," 0.089062243"," 1.370829860"," 0.370730336"," 0.249704000"," 0.376219482"," 2.345964809","-0.413512434","-0.783935201"," 0.006743726","-1.129821582"," 0.996136130"," 0.368531443","-0.388965440"," 4.545279695"," 0.229220218","-0.555056625","-0.165008079"," 1.534343059"," 0.432661957","-1.079617908"," 0.454260348","-1.232329794","-0.133581710"," 0.022651124","-0.303764222","-0.265904025","-0.773782458","-0.564280139","-1.141031876"," 0.961728245","-1.015365117"," 1.256429141"
"Lumefantrine","-0.2904791247","-0.1817112777","-0.4740464551","-0.4023377861"," 0.2475314973","-0.1903048415","-0.4092148581"," 0.6769116085"," 0.1519235108","-0.2182200785","-0.0112475191"," 0.2105872627","-0.4661275426"," 0.0413498428","-0.3542121225","-0.2225772625","-0.4274279567","-0.3363488620"," 1.0287409294"," 4.0459508453","-0.5302690055","-0.2974000647","-0.1647167132","-0.1548188581","-0.0365720702","-0.4687978395","-0.4066959827","-0.3484579423","-0.1383428314","-0.1059221087","-0.1646253540","-0.3835225988","-0.1548864120"," 0.0009218564","-0.3787773192","-0.1866500397","-0.3873325391","-0.2358963324"," 0.0062226309","-0.1714969005"," 0.0458056592","-0.0798818048","-0.2267947391","-0.1027330431"," 0.1458324905","-0.2553505482"," 0.4894059232","-0.3962919544","-0.1182143552","-0.5567799771","-0.3572852563","-0.4193608350","-0.3453802628","-0.0100092342","-0.1026821118"," 6.0057787049","-0.6006860216","-0.2554461857","-0.2859427415","-0.2846870922"
"Ethyl oleate","-0.026001047","-0.151750660","-0.277099073"," 0.933210305","-0.234258484","-0.261172791","-0.268048534","-0.187491238"," 0.019081954","-0.288275667","-0.260291988","-0.234925160","-0.261829226","-0.014602359"," 0.950140761","-0.221386066"," 0.042370386","-0.253084509","-0.328761776","-0.109611164","-0.305021475","-0.312746552","-0.355941564","-0.294275359","-0.292947881","-0.298659195","-0.215476686"," 0.152523146","-0.278219061","-0.185594051","-0.318862005","-0.264758378","-0.101547672"," 0.665614711"," 0.319237220"," 0.248049565","-0.200726319"," 0.186657501","-0.266024207","-0.212822261","-0.263673935","-0.285973149"," 0.002550099","-0.224167434","-0.313193605","-0.148537281","-0.024993205","-0.292628497"," 7.297889088","-0.338336676","-0.180438935","-0.275996204","-0.320703375"," 0.467532624","-0.351444069","-0.056791884"," 0.017595923","-0.342051949","-0.366013074","-0.235297603"
"3,3,5-trimethyl-3H,11H-pyrano[3,2-a]carbazole","-0.512788798","-0.139146613","-0.559127639","-0.312370331","-0.534980778","-0.519148112","-0.242537082"," 0.182924823","-0.309614906"," 0.058888159"," 0.220788111","-0.282354410","-0.113362182","-0.491741324","-0.710072255"," 0.034506727","-0.536813051","-0.587506530","-0.295552906","-0.271884785","-0.888094168","-0.439661579","-0.130406960","-0.151623463","-0.483236825","-0.637900357"," 0.272403028"," 0.232808930","-0.502315184"," 0.423244600","-0.277918944"," 0.331503586"," 0.640486659"," 1.003828007"," 3.915358731","-0.284952846","-0.039478159","-0.531064069"," 0.079897850"," 0.006599668"," 0.947568665","-0.530778957","-0.129468437","-0.098340192","-0.529672370"," 3.330337225","-0.053426670","-0.193853162","-0.334792775","-0.710920022","-0.345960763","-0.229488965","-0.468941210","-0.285378256","-0.675902446"," 0.203539697","-0.713706006"," 0.084301261"," 4.622654293","-0.505355530"
"N-[2-(1,5-dimethyl-4-nitro-1H-pyrazol-3-yl)vinyl]-N,N-dimethylamine","-0.40441530","-0.16034390","-0.67374325","-0.46021056","-0.15434464","-0.66868239","-0.58483893","-0.15359803","-0.53213653","-0.05409722","-0.49690888"," 1.08436896","-0.14049682"," 0.10830148"," 0.53432930","-0.68423361","-0.52119754","-0.55158443","-0.30145581","-0.14766958","-0.06938704"," 0.89729848"," 0.59032117"," 1.11168965","-0.70851733","-0.22502853"," 0.11346253"," 3.92200320"," 0.10364283","-0.48736815","-0.34577104","-0.62688671","-0.37818581"," 0.33489642","-0.41946748"," 0.25024041","-0.21015753","-0.62877119"," 1.19753279","-0.47718189","-0.37887609","-0.59262411","-0.35191141"," 0.07487001","-0.31645809","-0.36039802","-0.47717053","-0.06422794","-0.22348913","-0.57960878","-0.60042098"," 0.31959468"," 4.40312075","-0.52305810","-0.50693155","-0.44730204","-0.71856220"," 3.08607206","-0.55314137","-0.17088423"
"N1-(5-oxo-5H-chromeno[2,3-b]pyridin-7-yl)-4-nitrobenzamide","-0.32168726","-0.26412190","-0.69522045"," 0.20861947"," 0.42315598","-1.11824819","-0.22045052","-0.51283800","-0.20944521","-0.39940887","-0.89329195"," 1.06871326"," 1.60341293"," 1.78698008","-0.72528442","-0.56171165","-0.94962300","-0.86128255","-0.02432176","-0.07636684","-0.98354217","-0.14780138"," 0.70452686"," 1.52919798"," 0.33921649","-1.13951779"," 0.46799647"," 0.42004848","-0.33523023"," 0.23592244","-0.51334040","-0.18620135"," 4.56063407"," 0.50444336"," 0.69542593"," 0.53576215"," 1.92378202","-0.82584096"," 0.19262751","-0.06746005"," 0.95924485","-1.00160731","-0.65647133"," 0.25254976","-0.33670002"," 1.48720064","-0.62574368","-0.48399229","-0.16647009","-1.05047978","-1.02087284"," 0.20191102"," 0.30501566"," 0.19126880"," 0.85511132","-0.26522943","-1.74725660"," 0.05016676","-1.09533700","-1.02053701"
"9-methyl-6H-chromeno[4,3-b]quinolin-6-one","-0.16989162","-0.15426840","-0.15565442","-0.17379128","-0.15285084","-0.19102273","-0.13117589","-0.13037301","-0.21448273","-0.21614117","-0.17707349","-0.14921322","-0.15982954","-0.18097719","-0.19987902","-0.20639409","-0.12248658","-0.13886039","-0.21645601","-0.14134258","-0.17575756","-0.09517869","-0.12511590","-0.09058191","-0.18376498","-0.20836990","-0.17409016","-0.12487791","-0.20267301","-0.10900335","-0.16992284","-0.19062016"," 0.03222263","-0.15142668","-0.15881695"," 2.14731089","-0.19537445","-0.15458251","-0.16869921","-0.15150292","-0.04047282","-0.19711514","-0.19289581","-0.18417940","-0.15631708","-0.11999061","-0.17081099","-0.18480587","-0.19335926","-0.13279589","-0.18601380","-0.15791558"," 7.26315068","-0.20207244","-0.14442222","-0.19361157","-0.19056628","-0.16858349","-0.22216905","-0.19206364"
"(S)-10-Hydroxycamptothecin","-0.487138458"," 0.129669953","-0.407397816","-0.331400766"," 0.165459299"," 0.104602351","-0.197119014"," 0.141765290","-0.299174738","-0.123448748","-0.094744299","-0.220228089","-0.265796301","-0.201361061","-0.433303091","-0.334170026","-0.178848117","-0.153766780","-0.027564472","-0.168314528","-0.221327145"," 1.408026826"," 0.005475427","-0.145633054","-0.444922439","-0.459453863","-0.235814417"," 7.129481782"," 0.227622258"," 0.029965794"," 0.154313200","-0.139926954"," 0.312858041","-0.288686348","-0.109330199","-0.321229608","-0.387461246","-0.386851682","-0.073664770","-0.302282501","-0.111116399","-0.381957605","-0.201097711","-0.357946539","-0.301761409","-0.256726147","-0.339379261","-0.257868176","-0.241641562","-0.512687519","-0.188929913","-0.360809427","-0.202444403"," 0.895804846","-0.137954221"," 0.698004099","-0.515835019","-0.391308013"," 0.810930089","-0.014155401"
"S-Adenosyl-methionine"," 7.14076898","-0.15380728"," 0.33709296","-0.39292316"," 0.23532081","-0.16312102","-0.40037656"," 0.43034872"," 0.20778741","-0.19337567"," 0.03094201"," 0.03807477","-0.46205875"," 0.08794723","-0.34076438","-0.19809800","-0.42011599","-0.32140410"," 1.34219814","-0.16428918","-0.53157552","-0.27919125","-0.13538851","-0.12466117"," 0.05465722","-0.54398205","-0.42340062","-0.36237170","-0.10680439","-0.06889335","-0.11209501","-0.37253119","-0.12473439"," 0.04413122","-0.24940215","-0.15915993","-0.37666041","-0.21253326"," 0.04987622","-0.14273690"," 0.09277646","-0.04344410","-0.29908299","-0.10741089"," 0.20118594","-0.23361781","-0.22054224","-0.38637066","-0.08498907","-0.31066767","-0.34409505","-0.41137281","-0.33119237"," 0.03228406"," 1.32924860"," 0.04871567","-0.56981093","-0.23372147","-0.35250125","-0.23808124"
"4-(5-chlorobenzo[b]furan-2-yl)-2-phenyl-1,3-thiazole","-0.48961984","-0.47236837","-0.44120977","-0.42531696","-0.03329368","-0.14361570","-0.39140318","-0.33435046","-0.39437139"," 1.61096434","-0.35072079"," 1.55359235","-0.40833524","-0.35744000"," 0.28600928","-0.43910992","-0.34966015","-0.27039407","-0.41789460","-0.45580182"," 0.20240228","-0.32428040"," 4.28132426","-0.33118725","-0.46330024","-0.43342613","-0.34558212","-0.26342456","-0.26325833","-0.31698758"," 0.57492842","-0.34802188","-0.22344934","-0.24561816","-0.17713819","-0.16597664"," 0.37561173","-0.47551325","-0.13532882","-0.35758917","-0.32666523","-0.41089908","-0.42599023","-0.29380194","-0.37161810","-0.18548410"," 0.82046189"," 5.14921904","-0.45862221","-0.49621139","-0.46741095","-0.32280535","-0.42403955","-0.37195830","-0.39793226"," 1.07268244"," 0.06136102","-0.37072334","-0.27672703"," 0.65732000"
"Kinetin","-1.026900702","-0.759416064","-1.108000678"," 0.687482623","-0.116629868","-0.849130613","-0.994210670","-0.032958660","-1.123191773"," 0.616159215","-0.769441282"," 0.099905656","-0.757443404","-0.921903309","-0.966841686","-1.010505219"," 2.057749266","-0.775396464"," 0.077326815","-0.809831446","-0.793137636"," 0.583725804"," 0.849681342","-0.172533404","-0.103603567","-0.725165644","-0.581156394","-0.043344317"," 2.282189974"," 0.563029504"," 1.177800044"," 0.646124620"," 2.437049575"," 0.131392241"," 0.001805777","-0.448528337","-0.530759525"," 0.464971822"," 2.647250072"," 0.247298749"," 1.396453988"," 0.373434012"," 0.440103964","-0.273052559","-0.316664005"," 3.020824779"," 0.416643801","-0.554446467","-0.424944512","-0.681322638"," 1.420370192","-0.505476405","-0.277353980"," 0.264536925","-0.986238464","-0.699813389","-0.987183048","-0.303810862","-1.199371051","-0.273602720"
"Avobenzone","-0.34403074","-0.31208630","-0.32211864","-0.27238759","-0.30787931","-0.43900959","-0.31070154","-0.41330993","-0.37400496","-0.29013129"," 0.09396966","-0.33009857","-0.32903890","-0.28513239","-0.54241761","-0.37235804","-0.41570391","-0.14617519","-0.25871975","-0.35086627","-0.41262379","-0.28085416","-0.07608683","-0.22401272","-0.36943881","-0.44647900"," 0.06519553","-0.26452309"," 0.02666925","-0.11373982"," 0.44294267","-0.25312151"," 4.69448658"," 0.11044171","-0.25598707"," 4.32450090","-0.21151343","-0.40476617"," 0.34809968","-0.01194135"," 0.33365644","-0.22121845","-0.31926289"," 0.01679727","-0.21684162"," 3.61132885"," 0.12656524","-0.18523582","-0.28794256","-0.40625394","-0.10890139","-0.29353052","-0.34065947","-0.38407744","-0.30837716","-0.31072250","-0.49651237","-0.15520429","-0.15572935","-0.26292575"
"Oxymatrine"," 0.947719275"," 0.030493004","-0.857402041"," 0.399658780","-0.611889032","-0.248611067","-0.232754754"," 0.829163456"," 2.128080792","-0.909852290","-0.851715197"," 0.607210686"," 1.015353546"," 3.852105687","-1.185414198","-0.870808655","-0.884465667","-0.905189886","-0.647069931"," 1.458344864","-0.988918516"," 3.602568023","-0.002825287"," 1.348124047","-0.237795734","-0.265843297","-0.360107617","-0.551747208","-0.722825719","-0.213051734","-0.158017957"," 0.502126316","-0.527962066"," 0.092730077"," 0.117388820"," 0.726080325","-0.424747662"," 0.354853899","-0.589231020"," 0.022503835"," 1.099632957"," 0.043079044","-0.502163528","-0.567801154","-0.365527764"," 0.439717878","-0.984336660"," 0.599378077"," 0.045622810","-0.652406135"," 0.490002381","-0.271979761","-0.676540668","-0.358342438","-0.824972939"," 0.048216749","-1.170287829","-0.706080537","-1.043134017"," 0.571664638"
"ethyl 5-[(2,1,3-benzoxadiazol-4-ylsulfonyl)amino]-2-piperidinobenzoate","-0.34279324"," 0.07777413","-1.05258416","-0.77531172"," 1.46605362"," 0.04454581","-0.80190296"," 0.05728828"," 1.36782362","-0.06339269"," 0.73689809"," 0.76234542","-1.02196448"," 0.94027377","-0.58922654","-0.08024040","-0.87232667","-0.52015554"," 5.41502346"," 0.04037822","-1.26997717","-0.36955411"," 0.14348619"," 0.18175774"," 0.82150607","-1.31423956","-0.88404514","-0.66631428"," 0.24546480"," 0.38071879"," 0.22658965","-0.70255994"," 0.18149654"," 0.78395283","-0.26327651"," 0.05867765","-0.71729166","-0.13174060"," 0.80444908"," 0.11726956"," 0.95750286"," 0.47151322","-0.53969453"," 0.24330100"," 1.34427177","-0.20696328","-0.16031397","-0.75193459"," 0.32329460","-1.24963388","-0.60110928","-0.84113392","-0.55507682"," 0.74168611"," 0.07681472"," 0.80030862","-1.40638841","-0.20733307","-0.63109980","-0.22288728"
"{4-methyl-2-[4-(trifluoromethyl)phenyl]-1,3-thiazol-5-yl}methanol","-0.4191622937","-0.2996517420"," 6.4281806480","-0.2481765734"," 0.1719861758","-0.3090940686","-0.4930329619","-0.3054731022"," 0.0669352478","-0.3397664176","-0.1123517411"," 0.1313930594"," 0.6367978595"," 0.6197523624","-0.4891900263","-0.3445539491","-0.0005078653","-0.4695624601"," 1.0303535403"," 1.0654490603","-0.6826355695","-0.4267667962","-0.1133237650","-0.2701032314","-0.1401775292","-0.4082599742","-0.5729671690","-0.4828675214","-0.2519999119","-0.2163770826","-0.2808782880","-0.3376855191","-0.2701774571"," 0.3040737070","-0.4446183148"," 0.0317982892","-0.4981273956"," 2.6811407247","-0.0931561118","-0.2884285185","-0.0496635753","-0.1877648487","-0.4751147595"," 0.0419547528"," 0.0602426343","-0.3513613128","-0.3673080611","-0.3535898096"," 0.9702820554","-0.5825821552","-0.4643824740"," 0.3167466813","-0.4794858683","-0.1109911542","-0.2999243724"," 0.2157226240","-0.7356687732"," 0.0933681707","-0.4141778642","-0.3850892079"
"N-Desmethylclomipramine","-0.152702891"," 1.070124881","-0.721657963"," 0.624655390","-0.645453574","-0.830961235"," 1.007530320","-0.122100908","-0.110610701"," 0.232110327","-0.060631317"," 0.097571047"," 2.715808008"," 1.353945317","-0.866316543","-0.731962130","-0.349909187","-0.775748579","-0.792214285"," 0.228682332","-1.052524336","-0.762311721"," 1.902094758"," 3.435104376","-0.985213610","-0.273944560"," 2.941213350","-0.008842366","-0.101151161","-0.309391783","-0.697726637","-0.452810959","-0.400177399"," 0.543628546"," 1.098798758","-0.093731937","-0.026302976","-0.976515027"," 0.281404859"," 0.405232290","-0.105732237","-0.854343596","-0.388843088"," 0.462270672","-0.712549338"," 1.890842558","-0.388858808","-0.590033576"," 0.172305037","-0.949325498","-0.715528843"," 0.737641883","-0.700236399"," 0.570213612","-1.087736384","-0.048591588","-1.130306413","-0.192325147","-0.638679967","-0.967173651"
"Mupirocin","-0.99844688","-0.66601040","-1.28065939"," 3.23055272"," 0.34612470"," 1.10790126","-0.16045693"," 1.29569774","-0.18796175"," 1.71667554","-0.79353318"," 0.42287583","-0.66709323","-0.68314842","-0.62068415","-0.08347060","-0.13143404"," 0.33523238","-1.20160256","-0.28404598","-0.66018216","-0.32633569"," 0.12754523","-0.48582339","-0.53665934","-0.20870948"," 1.41593029","-0.43752563"," 1.31856542"," 1.71457019"," 0.54554236"," 0.17319858"," 0.82050249"," 0.07397095"," 0.44616561","-0.58993885","-0.09837536","-0.88938511"," 1.26506595"," 3.26005779","-0.22147871","-0.79570014"," 0.31617752"," 0.07576343","-0.12044114"," 0.91331845"," 1.09532910","-0.60877139","-0.54243074","-1.10462426"," 0.83961269","-0.81151506","-1.30922639","-0.23982400","-1.24158438","-0.09617575","-1.00908521","-0.64055358","-1.12716194","-0.99632101"
"YLH","-1.037795228","-0.519642387","-0.573163634"," 2.850870497"," 2.087900149","-0.306271360","-0.303778820"," 2.366767473","-1.060385338"," 1.890544432"," 0.613041874","-0.167342244","-0.221752123"," 0.415860738","-1.233395792","-0.613171239","-0.610590492","-0.690286402","-0.680953699","-0.765479177","-0.564141617"," 0.742017554","-0.355282660","-0.637471747"," 0.139115672","-0.186862907","-0.640041928","-0.579614934"," 0.826811459","-0.138016580","-0.597857657","-0.889943681"," 3.307359017","-0.051452979"," 1.407682487","-0.459517824","-0.636004720","-0.556417691"," 0.870129717","-0.420469611"," 1.118691604","-0.852775684","-0.050851300"," 0.589740829","-0.816937391"," 0.476091291"," 1.672165076","-0.439990752","-0.750841570","-0.726944385"," 0.529095540","-0.720854542"," 0.182943689","-0.103554081","-1.026693329","-0.277312074","-1.239368847"," 0.518231672","-0.005153677","-0.096678671"
"AMK"," 0.046375873","-0.167843033","-0.669686972"," 1.231919626","-0.192441931","-0.198185789","-0.084781206","-0.523801143"," 1.115777429","-0.449452654","-0.488371959","-0.274979873"," 1.703742852"," 6.176669293","-0.657407563","-0.512098640","-0.595067757","-0.698905072","-0.073806482"," 0.500145591","-0.742071725"," 0.086445831"," 0.250814568","-0.116326248","-0.228223349"," 1.096118891"," 1.299826537"," 0.303854178","-0.194320447","-0.400501794","-0.173628677","-0.354564545","-0.549193721","-0.232043769","-0.007475381"," 0.118245329","-0.109795703"," 1.127099465","-0.478365281"," 1.056512798"," 0.011204635"," 0.532671869","-0.570350384","-0.627759608","-0.039840848"," 0.457527932","-0.629047174","-0.079978411","-0.441138316","-0.606870798","-0.670612169","-0.305643401","-0.658147817","-0.200185996","-0.299204381","-0.280099396","-0.775675178","-0.468787741","-0.677825969","-0.610444396"
