ASV,Health,Disease,Bile,Stone
ASV680,5.886792453,3.272727273,0.659574468,0.28
ASV692,3.886792453,4.893939394,0.425531915,0.28
ASV699,4.188679245,5.045454545,0,1.2
ASV705,5.490566038,2.5,1.191489362,2.48
ASV712,3.169811321,5.045454545,0.531914894,0.08
ASV720,3.698113208,4,0.617021277,0.16
ASV727,8.547169811,1.045454545,0.617021277,0.36
ASV728,6.603773585,2.606060606,0.170212766,0
ASV729,6.716981132,2.090909091,0.829787234,0.24
ASV730,3.113207547,4.727272727,0.553191489,0.6
ASV731,9.981132075,0.924242424,0,0.52
ASV735,9.452830189,0,0,0
ASV736,11.67924528,0,0,0
ASV745,5.622641509,3.939393939,0.170212766,0
ASV746,7.830188679,1.090909091,1.765957447,0.6
ASV747,2.886792453,5.378787879,0,0.24
ASV752,1.301886792,6.939393939,0.085106383,0.08
ASV758,1.490566038,7.060606061,0,0.96
ASV759,3.41509434,5.166666667,0,0.28
ASV762,3.301886792,4.590909091,0.106382979,0.32
ASV772,8.169811321,0.651515152,0,1.64
ASV775,5.924528302,1.878787879,0,0.68
ASV777,3.018867925,1.818181818,3.744680851,0.92
ASV782,6.58490566,2.151515152,0,0.76
ASV783,8.018867925,0.560606061,0.276595745,0.28
ASV786,1.301886792,5.318181818,0.425531915,0
ASV793,10.05660377,0,0,0
ASV795,5.58490566,0,1.978723404,6.88
ASV796,5.79245283,2.333333333,0,0
ASV799,8.886792453,0.166666667,0,0
ASV801,9.773584906,0,0,0
ASV807,4.58490566,2.848484848,0.510638298,0
ASV808,3.113207547,2.575757576,1.765957447,0.84
ASV809,5,2.015151515,0.468085106,2.04
ASV815,1.811320755,3.439393939,0.914893617,2.48
ASV827,0.41509434,0.651515152,6.914893617,0.28
ASV829,5.396226415,2.727272727,0.170212766,0.44
ASV836,4.169811321,2.712121212,0.489361702,0.84
ASV845,1.132075472,4.878787879,0.255319149,0.12
ASV849,1.58490566,3.484848485,1.808510638,0
ASV854,1.245283019,3.424242424,2.29787234,0.52
ASV855,4.962264151,2.53030303,0,0
ASV857,2.566037736,0.348484848,4.276595745,0.84
ASV859,6.830188679,0,0.021276596,0.76
ASV861,8.396226415,0.318181818,0,0
ASV865,3.075471698,0.651515152,2.829787234,3.08
ASV872,8.773584906,0,0,0
ASV875,1.245283019,0,4.404255319,9.6
ASV886,2.679245283,3.772727273,0.106382979,0
ASV898,6.471698113,1.060606061,0.106382979,0
ASV905,3.056603774,2.803030303,0.808510638,0.12
ASV926,6.339622642,0.96969697,0,0
ASV934,3.830188679,2.46969697,0,1.2
ASV937,4.377358491,1.924242424,0.29787234,0.52
ASV938,1.056603774,4.060606061,0.787234043,0.12
ASV948,4.867924528,1.787878788,0.234042553,0
ASV950,6.037735849,1.060606061,0,0.08
ASV958,1.41509434,0.303030303,2.936170213,3.28
ASV964,3.339622642,2.409090909,0.340425532,0.48
ASV967,4.056603774,1.484848485,0.510638298,0
ASV973,4.849056604,1.484848485,0,0.6
ASV980,6.471698113,0,0.489361702,0
ASV992,2.301886792,3.393939394,0.085106383,0
ASV993,3.698113208,1.939393939,0.085106383,0.44
ASV1001,1.396226415,3.318181818,0.404255319,0.04
ASV1004,6.320754717,0,0.170212766,0.32
ASV1010,6.811320755,0.212121212,0,0
ASV1014,1.396226415,3.378787879,0.361702128,0
ASV1019,4.301886792,0.939393939,0.872340426,0.08
ASV1020,3.188679245,1.590909091,0,2
ASV1021,3.20754717,2.484848485,0,0
ASV1027,0.283018868,2.242424242,1.085106383,4.4
ASV1035,1.981132075,3.242424242,0.021276596,0
ASV1037,6.811320755,0,0,0
ASV1039,5.377358491,0,0,0.44
ASV1040,2.735849057,1.106060606,1.170212766,1.32
ASV1043,3.320754717,1.696969697,0.510638298,0.52
ASV1046,4.018867925,0.424242424,0,1.6
ASV1051,3.113207547,0.621212121,1.744680851,0.72
ASV1057,5.41509434,0.409090909,0.085106383,0
ASV1063,1.849056604,2.257575758,0.276595745,1.32
ASV1089,5.603773585,0,0.255319149,0
ASV1090,0.566037736,0.03030303,3.617021277,5.8
ASV1095,2.735849057,1.484848485,1.021276596,0
ASV1117,1.188679245,2.833333333,0.127659574,0
ASV1119,0.981132075,3.424242424,0.085106383,0.08
ASV1121,3.566037736,1.106060606,0.170212766,0
ASV1128,5.660377358,0,0,0.04
ASV1131,3.528301887,1.090909091,0.063829787,0
ASV1138,5.283018868,0.439393939,0,0
ASV1143,0.867924528,3.212121212,0.063829787,0.04
ASV1145,3.452830189,1.227272727,0.255319149,0.08
ASV1146,3.452830189,1.409090909,0.106382979,0.48
ASV1149,5.056603774,0.227272727,0.085106383,0
ASV1155,3.603773585,1.242424242,0,0
ASV1160,5.113207547,0.318181818,0,0
ASV1164,4.698113208,0.378787879,0.063829787,0.52
ASV1167,1.698113208,2.257575758,0.191489362,0
ASV1178,2.79245283,1.681818182,0.446808511,0
ASV1184,3.924528302,0.075757576,0,3.16
ASV1188,0.716981132,0.212121212,2.723404255,2.8
ASV1191,5.188679245,0.166666667,0.042553191,0
ASV1192,1.698113208,2.242424242,0.042553191,0.28
ASV1193,1.886792453,2.242424242,0.021276596,0
ASV1202,2.811320755,1.666666667,0,0.28
ASV1203,4.924528302,0.242424242,0.021276596,0
ASV1204,1.849056604,1.893939394,0.617021277,0.48
ASV1208,3.509433962,1.303030303,0.063829787,0
ASV1209,4.264150943,0.560606061,0.085106383,0
ASV1210,4.358490566,0.242424242,0,0
ASV1218,5.283018868,0,0,0.16
ASV1220,1.509433962,2.196969697,0.617021277,0
ASV1233,3.150943396,1.287878788,0,0
ASV1245,3.433962264,1.03030303,0.021276596,0
ASV1247,3.58490566,0.166666667,0,0
ASV1285,0.716981132,0,3.021276596,2.36
ASV1306,1.490566038,0,1.595744681,4.84
ASV1307,4.150943396,0.242424242,0,0.2
ASV1320,3.132075472,0.909090909,0.085106383,0.08
ASV1334,3.283018868,0.848484848,0,0
ASV1336,2.603773585,1.196969697,0.404255319,0.12
ASV1345,2.339622642,1.196969697,0,0
ASV1367,4.339622642,0,0,0
ASV1368,1.924528302,1.393939394,0.234042553,0.44
ASV1369,3.867924528,0.515151515,0.170212766,0
ASV1373,3.113207547,0.666666667,0,0.44
ASV1378,3.660377358,0.454545455,0.042553191,0
ASV1385,2.811320755,1.242424242,0,0.28
ASV1388,2.320754717,1.606060606,0,0
ASV1401,3.377358491,0.833333333,0,0
ASV1413,0.301886792,0.03030303,0,9.08
ASV1417,3,0.121212121,0.70212766,0.68
ASV1419,2.849056604,0.878787879,0.106382979,0.12
ASV1420,3.452830189,0.333333333,0,0.24
ASV1423,2.245283019,1.166666667,0,0.64
ASV1427,2,0.909090909,0.680851064,0.72
ASV1431,1.188679245,2.090909091,0.319148936,0
ASV1433,0.452830189,0.545454545,2.638297872,0.92
ASV1440,2.943396226,0.515151515,0.446808511,0
ASV1441,4.320754717,0,0,0
ASV1442,2.20754717,1.46969697,0,0.16
ASV1446,3.283018868,0.106060606,0.276595745,0.84
ASV1451,1.641509434,1.636363636,0.085106383,0.24
ASV1463,3.433962264,0.060606061,0.212765957,0.08
ASV1464,2.58490566,1.090909091,0,0
ASV1487,2.962264151,0.621212121,0,0
ASV1499,3.754716981,0,0,0.56
ASV1503,1.113207547,2,0,0.04
ASV1523,2.245283019,1.242424242,0,0
ASV1544,3.264150943,0.257575758,0.170212766,0.12
ASV1545,0.754716981,1.954545455,0,0
ASV1552,1.433962264,0,1.29787234,2.88
ASV1555,1.754716981,0.318181818,0,3.16
ASV1573,1.20754717,1.560606061,0.170212766,0
ASV1575,2.320754717,0.924242424,0.063829787,0
ASV1588,2.283018868,0,1.191489362,0
ASV1591,1.433962264,0.393939394,0,2.4
ASV1593,3.339622642,0.363636364,0,0.08
ASV1595,2.452830189,0.878787879,0,0
ASV1606,2.754716981,0,0,1.64
ASV1616,3.471698113,0,0,0
ASV1633,3.471698113,0,0.085106383,0
ASV1653,3.150943396,0.075757576,0,0.08
ASV1659,2.339622642,0.636363636,0.404255319,0
ASV1673,0.754716981,0.166666667,0.063829787,3.48
ASV1681,2.849056604,0.257575758,0,0.08
ASV1683,2.169811321,0.409090909,0.638297872,0
ASV1686,1.094339623,0,1.106382979,3.4
ASV1689,2.735849057,0.196969697,0,0
ASV1693,2.396226415,0.348484848,0.361702128,0
ASV1699,2.962264151,0.090909091,0,0
ASV1700,1.188679245,1.424242424,0.021276596,0
ASV1743,1.471698113,0.878787879,0.319148936,0.2
ASV1755,2.037735849,0.681818182,0,0
ASV1765,2.056603774,0,0,1.88
ASV1768,1.094339623,1.181818182,0.085106383,0.4
ASV1781,2.471698113,0,0,0.84
ASV1782,2.245283019,0.333333333,0.063829787,0
